CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr FileName AN CE DS HP NE SA SC SR
SA 0.912632 DS DS 2.674783 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S13/S13MK1/S13MK1SA/DSC_0579_01.JPG 0.001551 0.052565 0.553252 0.175782 0.000386 0.004374 0.046139 0.165950
SR 0.753876 AN AN 4.092038 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S7/S7FM3/S7FM3SR/DSC_0116_01.JPG 0.585234 0.018170 0.205472 0.119464 0.004177 0.009470 0.036697 0.021315
CE 0.988699 CE CE 2.080313 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S15/S15MK1/S15MK1CE/DSC_0077.JPG 0.074151 0.320782 0.261084 0.143366 0.007755 0.088917 0.100677 0.003267
AN 0.846825 SC AN 1.797326 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S11/S11NM3/S11NM3AN/DSC_0682_17134.JPG 0.286978 0.000258 0.003365 0.000175 0.000579 0.072983 0.634439 0.001224
NE 0.711705 SA SR 1.124030 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S6/S6MK1/S6MK1NE/DSC_0374_01.JPG 0.013101 0.011233 0.001289 0.001006 0.432136 0.450339 0.024369 0.066527
SR 0.808993 AN SA 6.690715 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1HD2/S1HD2SR/DSC_0113.JPG 0.256987 0.001561 0.000894 0.000331 0.035616 0.293367 0.217855 0.193390
SC 0.819816 SC SR 3.144691 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2SC/DSC_0989_01.JPG 0.033585 0.000037 0.091968 0.000675 0.003960 0.003160 0.528506 0.338109
SC 0.873985 NE SA 1.098818 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S7/S7NM4/S7NM4SC/DSC_0999.JPG 0.001881 0.000470 0.001418 0.000284 0.560412 0.143270 0.175499 0.116767
AN 0.499539 AN AN 3.200473 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S6/S6MK1/S6MK1AN/DSC_0508_01.JPG 0.268727 0.019025 0.041968 0.049022 0.006395 0.162004 0.278054 0.174804
SR 0.997202 HP HP 6.887347 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S12/S12NM2/S12NM2SR/DSC_0785.JPG 0.001151 0.000012 0.000120 0.997202 0.000021 0.000011 0.000024 0.001459
CE 0.927377 CE CE 4.315901 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S14/S14MK1/S14MK1CE/DSC_0732.JPG 0.000377 0.927377 0.000273 0.003729 0.031770 0.034260 0.000935 0.001280
SR 0.769861 DS DS 4.667192 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S20/S20MK1/S20MK1SR/DSC_0293.JPG 0.100570 0.014891 0.455986 0.239542 0.000781 0.026952 0.144043 0.017235
CE 0.736579 CE DS -1.374334 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2CE/DSC_0917_01.JPG 0.019190 0.467124 0.228773 0.264369 0.002069 0.009510 0.003235 0.005730
SR 0.612910 AN SR 0.659551 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S11/S11NM3/S11NM3SR/DSC_0666_17118.JPG 0.290873 0.030220 0.040773 0.014340 0.029622 0.034961 0.461734 0.097478
AN 0.900884 AN SC 0.761070 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK1/S1MK1AN/DSC_0666_01.JPG 0.691010 0.000680 0.003087 0.100053 0.002424 0.008314 0.191385 0.003047
DS 0.811992 DS DS 5.238893 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S3/S3NM3/S3NM3DS/DSC_0030_01.JPG 0.013195 0.002949 0.709982 0.066142 0.002913 0.203291 0.000332 0.001198
SC 0.685348 DS SC 3.169576 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S15/S15MK1/S15MK1SC/DSC_0175.JPG 0.211557 0.002719 0.217914 0.076595 0.071814 0.053051 0.326075 0.040275
DS 0.893269 DS AN 1.464408 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S11/S11MK1/S11MK1DS/DSC_0188_01.JPG 0.159616 0.006671 0.274195 0.221662 0.001324 0.000505 0.288990 0.047036
SC 0.651686 DS DS 3.337028 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S18/S18MK1/S18MK1SC/DSC_0488.JPG 0.055352 0.002470 0.322752 0.012898 0.010350 0.182859 0.144979 0.268341
NE 0.523478 SA SA 5.624006 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S2/S2HD1/S2HD1NE/DSC_0009.JPG 0.006974 0.156883 0.133229 0.149789 0.121829 0.401907 0.003246 0.026143
SR 0.688928 SC SC 4.864481 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S7/S7HD1/S7HD1SR/DSC_0128.JPG 0.214028 0.000439 0.237852 0.105626 0.000250 0.001389 0.370949 0.069467
HP 0.557478 SC DS 1.534656 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK8/S1MK8HP/DSC_0818.JPG 0.220865 0.011976 0.219796 0.053255 0.006729 0.138841 0.301598 0.046938
SA 0.598894 SA SA 5.343061 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S2/S2GL1/S2GL1SA/DSC_0890.JPG 0.066579 0.026218 0.199102 0.019452 0.142204 0.418604 0.067564 0.060276
DS 0.776581 SC SC 5.321637 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S3/S3MK5/S3MK5DS/DSC_0550_01.JPG 0.003096 0.000284 0.000792 0.000226 0.000742 0.002611 0.557178 0.435072
SA 0.781610 NE SR 1.475595 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S4/S4HD1/S4HD1SA/DSC_0269.JPG 0.146670 0.002316 0.001507 0.000176 0.300200 0.346227 0.099482 0.103421
SA 0.956973 AN HP -0.434308 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S7/S7FM3/S7FM3SA/DSC_0077_01.JPG 0.559851 0.001343 0.002042 0.096435 0.047456 0.096621 0.047656 0.148596
AN 0.933935 SA SA 3.780052 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S7/S7MK3/S7MK3AN/DSC_0509.JPG 0.091299 0.018820 0.160323 0.002556 0.007648 0.671086 0.038740 0.009528
SC 0.849281 DS DS 4.160018 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S7/S7MK2/S7MK2SC/DSC_0651.JPG 0.014291 0.025900 0.762154 0.049992 0.009282 0.096852 0.020019 0.021510
SC 0.866133 SC SR 0.507910 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S6/S6MK2/S6MK2SC/DSC_0505.JPG 0.022895 0.000511 0.008123 0.002669 0.004870 0.016344 0.697359 0.247227
SC 0.677530 DS AN 2.040120 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK3/S1MK3SC/DSC_0417.JPG 0.313255 0.002796 0.511491 0.006615 0.000509 0.004695 0.158249 0.002390
SA 0.892561 SR SR 5.992434 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2SA/DSC_0929_01.JPG 0.030575 0.000112 0.001337 0.000611 0.025518 0.005236 0.131475 0.805136
SR 0.716413 SR SR 3.175928 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S5/S5MK4/S5MK4SR/DSC_0572.JPG 0.059423 0.001388 0.122691 0.088858 0.009386 0.010705 0.153643 0.553906
AN 0.653529 AN SC 2.483286 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S10/S10MK3/S10MK3AN/DSC_0108.JPG 0.331782 0.002992 0.156228 0.006900 0.012588 0.130146 0.274329 0.085035
DS 0.856253 DS HP 2.920905 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S3/S3MK4/S3MK4DS/DSC_0332_01.JPG 0.067010 0.002638 0.736809 0.101679 0.008238 0.073308 0.009242 0.001078
HP 0.825401 HP HP 3.582738 3.633225 3.633225 1 0 0 /home/sielicki/data/BC2E_1072x712/S3/S3MK1/S3MK1HP/DSC_0133_01.JPG 0.005196 0.000794 0.015497 0.616550 0.104120 0.003301 0.046584 0.207958
DS 0.731956 AN SC 2.291599 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S2/S2GL1/S2GL1DS/DSC_0990.JPG 0.349671 0.129953 0.146508 0.032464 0.014298 0.035481 0.231815 0.059809
SR 0.810652 SR SR 3.675918 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S10/S10MK1/S10MK1SR/DSC_0277.JPG 0.152244 0.002090 0.059820 0.122407 0.094028 0.163219 0.039378 0.366814
HP 0.938289 DS DS 1.517488 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S12/S12MK2/S12MK2HP/DSC_0132.JPG 0.051339 0.069325 0.405415 0.189562 0.008303 0.127336 0.028939 0.119781
HP 0.774034 SR SA -0.269722 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S7/S7MK2/S7MK2HP/DSC_0638.JPG 0.024287 0.040810 0.243291 0.102539 0.017756 0.093894 0.016309 0.461115
DS 0.688089 DS CE -2.408862 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S5/S5MK2/S5MK2DS/DSC_0680.JPG 0.051052 0.198371 0.494300 0.120227 0.002409 0.012699 0.022941 0.098000
SR 0.742603 SR SR 4.326771 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S3/S3MK5/S3MK5SR/DSC_0537_01.JPG 0.065801 0.009657 0.118432 0.178875 0.022412 0.015008 0.155587 0.434227
CE 0.855439 DS DS 3.152053 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S5/S5MK3/S5MK3CE/DSC_0037_01.JPG 0.106672 0.121977 0.431460 0.199025 0.000855 0.110448 0.027142 0.002421
AN 0.593523 SC SC 1.521889 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S7/S7FM1/S7FM1AN/DSC_0793.JPG 0.236437 0.087048 0.107911 0.151993 0.041869 0.028597 0.268270 0.077876
AN 0.839143 DS HP 2.370903 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S12/S12MK1/S12MK1AN/DSC_0298.JPG 0.015444 0.001267 0.782063 0.109579 0.000946 0.003671 0.052071 0.034959
SR 0.982854 SR SR 6.486940 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S4/S4HD1/S4HD1SR/DSC_0219.JPG 0.002767 0.000000 0.000002 0.000074 0.000016 0.000006 0.014280 0.982854
AN 0.635766 SR AN 3.285464 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2AN/DSC_0023_01.JPG 0.167392 0.001400 0.036272 0.014532 0.009862 0.066710 0.241506 0.462327
AN 0.924993 AN AN 4.238767 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S7/S7FM2/S7FM2AN/DSC_0970.JPG 0.573133 0.089038 0.011312 0.127641 0.001991 0.027359 0.165664 0.003862
DS 0.934799 AN DS 0.986181 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S3/S3HD1/S3HD1DS/DSC_0009_01.JPG 0.694458 0.002983 0.131714 0.093742 0.008085 0.063696 0.003624 0.001700
DS 0.912205 DS DS 4.259440 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S10/S10NM2/S10NM2DS/DSC_0047.JPG 0.024270 0.000123 0.533775 0.365385 0.000086 0.000393 0.075178 0.000790
HP 0.767636 HP NE -0.183534 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S6/S6MK1/S6MK1HP/DSC_0465_01.JPG 0.011592 0.001260 0.008543 0.515660 0.184804 0.001277 0.005303 0.271561
CE 0.936395 CE CE 5.381454 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2CE/DSC_0908_01.JPG 0.003437 0.936395 0.003760 0.053136 0.000474 0.001641 0.000146 0.001010
SA 0.891442 DS HP -0.756251 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S12/S12MK2/S12MK2SA/DSC_0105.JPG 0.021251 0.010758 0.704128 0.103010 0.002045 0.109299 0.030239 0.019269
CE 0.770437 CE CE 4.452150 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S14/S14MK1/S14MK1CE/DSC_0744.JPG 0.120541 0.510700 0.029205 0.188131 0.006239 0.025207 0.012369 0.107608
SR 0.812960 SR SA -0.655391 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S6/S6MK1/S6MK1SR/DSC_0439_01.JPG 0.029551 0.001084 0.003112 0.000291 0.001359 0.279732 0.291498 0.393373
NE 0.911464 AN AN 0.021859 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S4/S4GL1/S4GL1NE/DSC_0330.JPG 0.178973 0.056061 0.082308 0.147684 0.098859 0.171024 0.167135 0.097956
AN 0.896349 NE SA 0.291059 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S12/S12NM2/S12NM2AN/DSC_0854.JPG 0.010234 0.001271 0.000639 0.001834 0.680102 0.152507 0.043024 0.110388
AN 0.845557 NE SA 0.096691 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S12/S12NM2/S12NM2AN/DSC_0850.JPG 0.040802 0.003345 0.001032 0.000160 0.709665 0.165808 0.071181 0.008008
SA 0.674976 DS AN 3.225143 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S12/S12MK2/S12MK2SA/DSC_0099.JPG 0.102029 0.051543 0.674976 0.025856 0.001397 0.051277 0.081695 0.011229
DS 0.830111 DS HP 0.677167 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S3/S3MK4/S3MK4DS/DSC_0338_01.JPG 0.200515 0.004346 0.475925 0.213276 0.015230 0.014272 0.051184 0.025252
CE 0.624777 SC DS 0.139931 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S11/S11NM3/S11NM3CE/DSC_0582_17034.JPG 0.324197 0.067730 0.161366 0.136693 0.001536 0.008782 0.294479 0.005218
NE 0.644351 NE SA -0.334988 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S4/S4HD1/S4HD1NE/DSC_0170.JPG 0.235612 0.003621 0.027884 0.036234 0.380240 0.215276 0.051222 0.049911
NE 0.913086 NE NE 4.292873 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1HD2/S1HD2NE/DSC_0052.JPG 0.007013 0.001023 0.000194 0.000148 0.700293 0.156431 0.084890 0.050007
HP 0.890177 HP HP 4.095461 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S7/S7HD2/S7HD2HP/DSC_0314.JPG 0.308013 0.000462 0.009071 0.677797 0.000541 0.002924 0.000141 0.001050
SA 0.695650 AN AN 7.361593 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S7/S7FM3/S7FM3SA/DSC_0087_01.JPG 0.539328 0.006604 0.083092 0.134062 0.015164 0.052536 0.025809 0.143407
NE 0.889726 NE SA 0.584577 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2NE/DSC_0882_01.JPG 0.002366 0.000459 0.001819 0.001024 0.557475 0.112405 0.033852 0.290600
AN 0.627456 AN AN 4.301719 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S5/S5NM4/S5NM4AN/DSC_0833.JPG 0.425414 0.188345 0.048268 0.017825 0.076415 0.184959 0.047662 0.011112
AN 0.902425 AN AN 7.253623 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S10/S10MK3/S10MK3AN/DSC_0104.JPG 0.377736 0.005010 0.080603 0.135593 0.004366 0.203971 0.055936 0.136785
SC 0.824395 HP SR -0.731962 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S11/S11MK1/S11MK1SC/DSC_0152_01.JPG 0.082451 0.013280 0.239781 0.533421 0.000112 0.000646 0.071221 0.059089
SC 0.809311 DS DS 2.705370 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S5/S5MK2/S5MK2SC/DSC_0588.JPG 0.061757 0.041476 0.402815 0.322723 0.034609 0.016842 0.015332 0.104447
SA 0.457931 SA NE -1.686607 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK7/S1MK7SA/DSC_0254.JPG 0.092599 0.005140 0.012662 0.003013 0.161283 0.271188 0.341319 0.112795
DS 0.898920 DS DS 2.662821 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S7/S7MK3/S7MK3DS/DSC_0524.JPG 0.197232 0.000747 0.575023 0.108991 0.003747 0.024444 0.037060 0.052757
SC 0.932784 SC SC 4.692147 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S7/S7HD2/S7HD2SC/DSC_0329.JPG 0.001064 0.000404 0.006431 0.011048 0.010580 0.131378 0.542039 0.297057
AN 0.872880 AN SA 1.427096 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S5/S5MK1/S5MK1AN/DSC_0326_01.JPG 0.549293 0.014411 0.103368 0.008431 0.006691 0.205793 0.024132 0.087881
AN 0.754381 AN CE 0.347694 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S7/S7FM2/S7FM2AN/DSC_0981.JPG 0.385558 0.147199 0.063875 0.211612 0.000588 0.002598 0.184455 0.004116
NE 0.553704 CE AN 1.098457 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK2/S1MK2NE/DSC_0872.JPG 0.158243 0.217014 0.044290 0.001401 0.005477 0.384699 0.181917 0.006959
SC 0.842558 SC SC 4.698166 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S2/S2NM2/S2NM2SC/DSC_0472.JPG 0.000193 0.000001 0.000003 0.000006 0.000215 0.000080 0.625051 0.374451
CE 0.994996 CE CE 6.779450 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1HD2/S1HD2CE/DSC_0071.JPG 0.000031 0.994996 0.000046 0.000311 0.002199 0.002348 0.000011 0.000057
AN 0.851455 AN AN 2.917645 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S5/S5MK1/S5MK1AN/DSC_0330_01.JPG 0.389557 0.152182 0.133348 0.000197 0.002282 0.321152 0.001079 0.000203
SA 0.949866 SA SA 5.619021 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S7/S7NM4/S7NM4SA/DSC_0927.JPG 0.000200 0.000500 0.000390 0.000108 0.216094 0.726142 0.054429 0.002138
HP 0.915554 SR SR 4.942886 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1HD2/S1HD2HP/DSC_0127.JPG 0.002800 0.001006 0.000874 0.320865 0.000147 0.000290 0.001666 0.672352
HP 0.876760 DS CE 1.179202 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S5/S5MK3/S5MK3HP/DSC_0100_01.JPG 0.012396 0.166468 0.458908 0.205256 0.000165 0.135826 0.020461 0.000520
HP 0.775573 DS DS 5.576046 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S19/S19GL1/S19GL1HP/DSC_0806.JPG 0.161451 0.000714 0.607985 0.000485 0.000559 0.194306 0.033219 0.001279
SC 0.747182 AN SC 0.890619 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S20/S20MK1/S20MK1SC/DSC_0327.JPG 0.443819 0.049259 0.159807 0.072641 0.002981 0.005798 0.163060 0.102636
SC 0.828640 DS DS 2.896399 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S10/S10MK1/S10MK1SC/DSC_0301.JPG 0.096829 0.003195 0.446951 0.103006 0.002095 0.345747 0.000306 0.001871
SR 0.741778 CE CE 5.092916 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S3/S3MK2/S3MK2SR/DSC_0828.JPG 0.046485 0.396536 0.059117 0.329100 0.029173 0.123551 0.013662 0.002377
HP 0.700344 HP DS 1.302309 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S10/S10MK4/S10MK4HP/DSC_0820_01.JPG 0.030345 0.001048 0.262313 0.423970 0.000033 0.000395 0.010425 0.271472
HP 0.995668 HP HP 4.928895 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S5/S5MK1/S5MK1HP/DSC_0287_01.JPG 0.001281 0.000508 0.226887 0.770110 0.000084 0.000555 0.000028 0.000549
SA 0.802539 SA SA 6.104448 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S3/S3NM3/S3NM3SA/DSC_0905.JPG 0.054914 0.298270 0.008266 0.007992 0.002453 0.626879 0.000629 0.000598
CE 0.786799 SC SC 4.607324 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S15/S15MK1/S15MK1CE/DSC_0092.JPG 0.096775 0.152552 0.129662 0.138382 0.019695 0.110156 0.351975 0.000802
