CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S1 0.999843 S1 S1 6.565370 4.143308 4.072816 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0394.JPG 0.999843 0.000000 0.000002 0.000001 0.000087 0.000011 0.000002 0.000003 0.000001 0.000001 0.000019 0.000001 0.000002 0.000001 0.000003 0.000003 0.000006 0.000001 0.000010 0.000001 0.000001
S1 0.999928 S1 S1 7.223660 4.143308 4.073026 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0395.JPG 0.999928 0.000000 0.000001 0.000001 0.000022 0.000005 0.000001 0.000001 0.000001 0.000001 0.000017 0.000001 0.000002 0.000001 0.000002 0.000001 0.000003 0.000001 0.000008 0.000001 0.000001
S1 0.999970 S1 S1 7.259372 4.143308 4.076156 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0396.JPG 0.999970 0.000000 0.000000 0.000000 0.000011 0.000002 0.000001 0.000001 0.000001 0.000000 0.000004 0.000001 0.000001 0.000000 0.000001 0.000000 0.000003 0.000000 0.000003 0.000000 0.000001
S1 0.999954 S1 S1 6.774858 4.143308 4.074657 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0397.JPG 0.999954 0.000000 0.000001 0.000000 0.000021 0.000003 0.000001 0.000001 0.000001 0.000001 0.000004 0.000001 0.000001 0.000000 0.000001 0.000001 0.000005 0.000001 0.000003 0.000000 0.000001
S1 0.999971 S1 S1 6.590436 4.143308 4.070562 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0398.JPG 0.999971 0.000000 0.000001 0.000001 0.000005 0.000002 0.000001 0.000001 0.000001 0.000000 0.000003 0.000001 0.000002 0.000000 0.000001 0.000001 0.000004 0.000001 0.000004 0.000000 0.000001
S1 0.999963 S1 S1 6.898289 4.143308 4.067497 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0399.JPG 0.999963 0.000000 0.000000 0.000000 0.000017 0.000002 0.000000 0.000001 0.000000 0.000000 0.000009 0.000000 0.000001 0.000000 0.000001 0.000001 0.000001 0.000000 0.000002 0.000000 0.000000
S1 0.999930 S1 S1 7.759239 4.143308 4.058059 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0400.JPG 0.999930 0.000000 0.000001 0.000000 0.000048 0.000003 0.000001 0.000001 0.000000 0.000000 0.000006 0.000000 0.000001 0.000000 0.000001 0.000001 0.000003 0.000001 0.000003 0.000000 0.000000
S1 0.999969 S1 S1 7.007790 4.143308 4.066069 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0401.JPG 0.999969 0.000000 0.000000 0.000000 0.000010 0.000002 0.000000 0.000001 0.000001 0.000000 0.000005 0.000000 0.000001 0.000000 0.000001 0.000001 0.000002 0.000001 0.000005 0.000000 0.000000
S1 0.999980 S1 S1 7.017282 4.143308 4.062101 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0402.JPG 0.999980 0.000000 0.000000 0.000000 0.000006 0.000002 0.000000 0.000000 0.000000 0.000000 0.000004 0.000000 0.000001 0.000000 0.000000 0.000000 0.000001 0.000000 0.000002 0.000000 0.000000
S1 0.999922 S1 S1 6.610442 4.143308 4.068423 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0403.JPG 0.999922 0.000000 0.000001 0.000000 0.000051 0.000003 0.000001 0.000001 0.000001 0.000000 0.000005 0.000001 0.000001 0.000000 0.000001 0.000001 0.000004 0.000001 0.000007 0.000000 0.000000
S1 0.999974 S1 S1 6.597427 4.143308 4.066577 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0404.JPG 0.999974 0.000000 0.000000 0.000000 0.000005 0.000001 0.000001 0.000001 0.000001 0.000000 0.000004 0.000001 0.000001 0.000000 0.000001 0.000000 0.000002 0.000000 0.000007 0.000000 0.000000
S1 0.999973 S1 S1 7.093168 4.143308 4.058984 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0405.JPG 0.999973 0.000000 0.000000 0.000000 0.000006 0.000004 0.000001 0.000001 0.000000 0.000000 0.000006 0.000001 0.000000 0.000000 0.000001 0.000000 0.000002 0.000000 0.000003 0.000000 0.000001
S1 0.999962 S1 S1 7.263987 4.143308 4.066647 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0406.JPG 0.999962 0.000000 0.000000 0.000000 0.000017 0.000003 0.000001 0.000001 0.000000 0.000000 0.000005 0.000001 0.000000 0.000000 0.000001 0.000001 0.000002 0.000000 0.000004 0.000000 0.000000
S1 0.999979 S1 S1 7.248315 4.143308 4.058956 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0407.JPG 0.999979 0.000000 0.000000 0.000000 0.000003 0.000001 0.000001 0.000001 0.000000 0.000000 0.000004 0.000001 0.000000 0.000000 0.000001 0.000000 0.000002 0.000000 0.000005 0.000000 0.000001
S1 0.999953 S1 S1 7.171738 4.143308 4.066655 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0408.JPG 0.999953 0.000000 0.000000 0.000000 0.000026 0.000002 0.000000 0.000001 0.000000 0.000000 0.000008 0.000000 0.000001 0.000000 0.000001 0.000000 0.000002 0.000000 0.000005 0.000000 0.000000
S1 0.999945 S1 S1 7.077383 4.143308 4.058953 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0409.JPG 0.999945 0.000000 0.000001 0.000000 0.000032 0.000002 0.000001 0.000001 0.000000 0.000000 0.000006 0.000000 0.000001 0.000000 0.000001 0.000001 0.000002 0.000001 0.000004 0.000000 0.000000
S1 0.999964 S1 S1 7.222268 4.143308 4.066656 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0410.JPG 0.999964 0.000000 0.000001 0.000000 0.000012 0.000002 0.000001 0.000001 0.000001 0.000000 0.000004 0.000001 0.000001 0.000000 0.000001 0.000000 0.000002 0.000001 0.000007 0.000000 0.000000
S1 0.999985 S1 S1 7.241695 4.143308 4.058953 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0411.JPG 0.999985 0.000000 0.000000 0.000000 0.000003 0.000002 0.000000 0.000000 0.000000 0.000000 0.000003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000004 0.000000 0.000000
S1 0.999954 S1 S1 7.240114 4.143308 4.066656 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0412.JPG 0.999954 0.000000 0.000000 0.000000 0.000023 0.000002 0.000001 0.000001 0.000001 0.000000 0.000004 0.000000 0.000001 0.000000 0.000001 0.000001 0.000003 0.000000 0.000007 0.000000 0.000000
S1 0.999966 S1 S1 7.207800 4.143308 4.060001 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0413.JPG 0.999966 0.000000 0.000000 0.000000 0.000005 0.000002 0.000001 0.000001 0.000001 0.000000 0.000004 0.000001 0.000001 0.000000 0.000001 0.000000 0.000002 0.000001 0.000014 0.000000 0.000001
S1 0.999882 S1 S1 7.216970 4.143308 4.069078 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0414.JPG 0.999882 0.000000 0.000001 0.000000 0.000016 0.000029 0.000002 0.000002 0.000001 0.000001 0.000046 0.000001 0.000002 0.000001 0.000003 0.000002 0.000002 0.000001 0.000006 0.000000 0.000001
S1 0.999908 S1 S1 7.197304 4.143308 4.061153 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0415.JPG 0.999908 0.000000 0.000001 0.000000 0.000047 0.000006 0.000001 0.000002 0.000001 0.000001 0.000010 0.000001 0.000001 0.000000 0.000002 0.000001 0.000004 0.000001 0.000011 0.000000 0.000001
S1 0.999966 S1 S1 6.977035 4.143308 4.069347 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0416.JPG 0.999966 0.000000 0.000000 0.000000 0.000010 0.000002 0.000001 0.000001 0.000000 0.000000 0.000008 0.000001 0.000001 0.000000 0.000001 0.000001 0.000002 0.000000 0.000005 0.000000 0.000001
S1 0.999969 S1 S1 6.861795 4.143308 4.061587 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0417.JPG 0.999969 0.000000 0.000001 0.000000 0.000006 0.000002 0.000001 0.000001 0.000001 0.000000 0.000004 0.000001 0.000002 0.000001 0.000001 0.000000 0.000003 0.000001 0.000005 0.000000 0.000001
S1 0.999969 S1 S1 7.063997 4.143308 4.069302 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0418.JPG 0.999969 0.000000 0.000000 0.000000 0.000009 0.000002 0.000001 0.000001 0.000001 0.000000 0.000004 0.000001 0.000001 0.000000 0.000001 0.000001 0.000004 0.000001 0.000003 0.000000 0.000001
S1 0.999974 S1 S1 7.160764 4.143308 4.060644 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0419.JPG 0.999974 0.000000 0.000001 0.000000 0.000005 0.000002 0.000001 0.000001 0.000001 0.000000 0.000003 0.000001 0.000001 0.000000 0.000001 0.000001 0.000003 0.000001 0.000005 0.000000 0.000001
S1 0.999977 S1 S1 7.300818 4.143308 4.068938 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0420.JPG 0.999977 0.000000 0.000000 0.000000 0.000008 0.000002 0.000000 0.000000 0.000000 0.000000 0.000007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000002 0.000000 0.000000
S1 0.999970 S1 S1 7.220573 4.143308 4.062242 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0421.JPG 0.999970 0.000000 0.000000 0.000000 0.000016 0.000001 0.000000 0.000000 0.000000 0.000000 0.000004 0.000000 0.000001 0.000000 0.000001 0.000001 0.000002 0.000000 0.000002 0.000000 0.000000
S1 0.999982 S1 S1 6.872555 4.143308 4.069235 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0422.JPG 0.999982 0.000000 0.000000 0.000000 0.000006 0.000001 0.000000 0.000000 0.000000 0.000000 0.000004 0.000000 0.000001 0.000000 0.000000 0.000000 0.000001 0.000000 0.000003 0.000000 0.000000
S1 0.999984 S1 S1 6.772233 4.143308 4.061154 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0423.JPG 0.999984 0.000000 0.000000 0.000000 0.000004 0.000002 0.000000 0.000000 0.000000 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000000
S1 0.999949 S1 S1 7.001797 4.143308 4.069347 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0424.JPG 0.999949 0.000000 0.000000 0.000000 0.000032 0.000002 0.000000 0.000001 0.000000 0.000000 0.000005 0.000000 0.000001 0.000000 0.000001 0.000001 0.000003 0.000000 0.000004 0.000000 0.000000
S1 0.999985 S1 S1 7.168712 4.143308 4.072320 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0425.JPG 0.999985 0.000000 0.000000 0.000000 0.000004 0.000001 0.000000 0.000000 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000002 0.000000 0.000000
S1 0.999936 S1 S1 7.104115 4.143308 4.077004 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0426.JPG 0.999936 0.000000 0.000001 0.000000 0.000014 0.000009 0.000001 0.000001 0.000001 0.000001 0.000018 0.000001 0.000002 0.000000 0.000002 0.000001 0.000003 0.000001 0.000004 0.000001 0.000003
S1 0.999972 S1 S1 7.147581 4.143308 4.073699 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0427.JPG 0.999972 0.000000 0.000000 0.000000 0.000008 0.000002 0.000001 0.000001 0.000000 0.000000 0.000004 0.000001 0.000000 0.000000 0.000001 0.000001 0.000002 0.000000 0.000005 0.000000 0.000000
S1 0.999983 S1 S1 7.154837 4.143308 4.074154 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0428.JPG 0.999983 0.000000 0.000000 0.000000 0.000003 0.000001 0.000001 0.000000 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000004 0.000000 0.000000
S1 0.999983 S1 S1 7.230179 4.143308 4.067677 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0429.JPG 0.999983 0.000000 0.000000 0.000000 0.000003 0.000002 0.000000 0.000000 0.000000 0.000000 0.000005 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000002 0.000000 0.000000
S1 0.999974 S1 S1 7.124131 4.143308 4.077081 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0430.JPG 0.999974 0.000000 0.000000 0.000000 0.000012 0.000001 0.000000 0.000000 0.000000 0.000000 0.000004 0.000000 0.000001 0.000000 0.000001 0.000001 0.000002 0.000000 0.000002 0.000000 0.000000
S1 0.999983 S1 S1 7.160457 4.143308 4.068759 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0431.JPG 0.999983 0.000000 0.000000 0.000000 0.000004 0.000001 0.000000 0.000000 0.000000 0.000000 0.000003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000003 0.000000 0.000000
S1 0.999985 S1 S1 7.081538 4.143308 4.071292 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0432.JPG 0.999985 0.000000 0.000000 0.000000 0.000004 0.000002 0.000000 0.000000 0.000000 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000000
S1 0.999943 S1 S1 7.293218 4.143308 4.069299 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0433.JPG 0.999943 0.000000 0.000001 0.000000 0.000028 0.000002 0.000001 0.000001 0.000001 0.000001 0.000006 0.000001 0.000001 0.000000 0.000001 0.000001 0.000004 0.000001 0.000009 0.000000 0.000001
S1 0.999968 S1 S1 7.213645 4.143308 4.069540 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0434.JPG 0.999968 0.000000 0.000000 0.000000 0.000008 0.000001 0.000001 0.000001 0.000000 0.000000 0.000005 0.000001 0.000001 0.000000 0.000001 0.000001 0.000003 0.000000 0.000006 0.000000 0.000001
S1 0.999976 S1 S1 6.917734 4.143308 4.069536 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0435.JPG 0.999976 0.000000 0.000000 0.000000 0.000008 0.000002 0.000000 0.000000 0.000000 0.000000 0.000005 0.000000 0.000001 0.000000 0.000001 0.000000 0.000002 0.000000 0.000003 0.000000 0.000000
S1 0.999952 S1 S1 6.802140 4.143308 4.069885 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0436.JPG 0.999952 0.000000 0.000001 0.000000 0.000017 0.000003 0.000001 0.000001 0.000000 0.000000 0.000011 0.000001 0.000001 0.000000 0.000001 0.000001 0.000003 0.000001 0.000004 0.000000 0.000001
S1 0.999943 S1 S1 6.912568 4.143308 4.066264 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0437.JPG 0.999943 0.000000 0.000001 0.000000 0.000014 0.000003 0.000002 0.000001 0.000001 0.000000 0.000018 0.000001 0.000001 0.000000 0.000002 0.000001 0.000003 0.000001 0.000006 0.000000 0.000001
S1 0.999868 S1 S1 7.375891 4.143308 4.072576 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0438.JPG 0.999868 0.000000 0.000001 0.000000 0.000019 0.000017 0.000003 0.000002 0.000001 0.000001 0.000062 0.000001 0.000002 0.000001 0.000004 0.000003 0.000003 0.000001 0.000008 0.000000 0.000002
S1 0.999972 S1 S1 7.007113 4.143308 4.078234 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0439.JPG 0.999972 0.000000 0.000000 0.000000 0.000007 0.000001 0.000001 0.000001 0.000000 0.000000 0.000004 0.000001 0.000001 0.000000 0.000001 0.000001 0.000004 0.000000 0.000003 0.000000 0.000001
S1 0.999976 S1 S1 6.543055 4.143308 4.071014 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0440.JPG 0.999976 0.000000 0.000000 0.000000 0.000003 0.000001 0.000001 0.000001 0.000000 0.000000 0.000003 0.000001 0.000001 0.000000 0.000001 0.000001 0.000004 0.000000 0.000005 0.000000 0.000001
S1 0.999977 S1 S1 7.003692 4.143308 4.069445 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0441.JPG 0.999977 0.000000 0.000000 0.000000 0.000005 0.000002 0.000000 0.000001 0.000000 0.000000 0.000003 0.000001 0.000001 0.000000 0.000001 0.000000 0.000003 0.000001 0.000002 0.000000 0.000001
S1 0.999963 S1 S1 7.245209 4.143308 4.069853 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0442.JPG 0.999963 0.000000 0.000000 0.000000 0.000018 0.000002 0.000001 0.000001 0.000000 0.000000 0.000006 0.000000 0.000001 0.000000 0.000001 0.000001 0.000002 0.000001 0.000003 0.000000 0.000000
S1 0.999967 S1 S1 6.888357 4.143308 4.067087 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0443.JPG 0.999967 0.000000 0.000000 0.000000 0.000013 0.000001 0.000001 0.000000 0.000000 0.000000 0.000007 0.000000 0.000001 0.000000 0.000001 0.000001 0.000002 0.000001 0.000004 0.000000 0.000001
S1 0.999961 S1 S1 7.023767 4.143308 4.075808 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0444.JPG 0.999961 0.000000 0.000000 0.000000 0.000017 0.000001 0.000000 0.000001 0.000000 0.000000 0.000011 0.000000 0.000001 0.000000 0.000001 0.000001 0.000001 0.000000 0.000002 0.000000 0.000000
S1 0.999963 S1 S1 7.054837 4.143308 4.066106 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0445.JPG 0.999963 0.000000 0.000000 0.000000 0.000018 0.000002 0.000001 0.000001 0.000000 0.000000 0.000005 0.000001 0.000001 0.000000 0.000001 0.000001 0.000002 0.000000 0.000004 0.000000 0.000000
S1 0.999978 S1 S1 7.162071 4.143308 4.074871 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0446.JPG 0.999978 0.000000 0.000000 0.000000 0.000006 0.000001 0.000001 0.000000 0.000000 0.000000 0.000004 0.000000 0.000001 0.000000 0.000001 0.000001 0.000002 0.000000 0.000005 0.000000 0.000000
S1 0.999974 S1 S1 7.097445 4.143308 4.065648 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0447.JPG 0.999974 0.000000 0.000000 0.000000 0.000012 0.000002 0.000000 0.000000 0.000000 0.000000 0.000005 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000002 0.000000 0.000000
S1 0.999974 S1 S1 7.169126 4.143308 4.073096 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0448.JPG 0.999974 0.000000 0.000000 0.000000 0.000007 0.000002 0.000001 0.000001 0.000000 0.000000 0.000005 0.000001 0.000000 0.000000 0.000001 0.000001 0.000002 0.000000 0.000004 0.000000 0.000000
S1 0.999971 S1 S1 7.182318 4.143308 4.080484 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0449.JPG 0.999971 0.000000 0.000001 0.000001 0.000004 0.000002 0.000001 0.000001 0.000001 0.000000 0.000005 0.000001 0.000001 0.000000 0.000001 0.000001 0.000003 0.000001 0.000006 0.000000 0.000001
S1 0.999975 S1 S1 7.186111 4.143308 4.079222 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0450.JPG 0.999975 0.000000 0.000000 0.000000 0.000004 0.000003 0.000001 0.000001 0.000000 0.000000 0.000007 0.000001 0.000001 0.000000 0.000001 0.000000 0.000002 0.000000 0.000003 0.000000 0.000001
S1 0.999951 S1 S1 7.176269 4.143308 4.072906 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0451.JPG 0.999951 0.000000 0.000000 0.000000 0.000031 0.000003 0.000000 0.000000 0.000000 0.000000 0.000005 0.000000 0.000001 0.000000 0.000001 0.000001 0.000002 0.000001 0.000002 0.000000 0.000000
S1 0.999962 S1 S1 7.183893 4.143308 4.080098 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0452.JPG 0.999962 0.000000 0.000001 0.000001 0.000007 0.000003 0.000001 0.000001 0.000001 0.000000 0.000004 0.000000 0.000002 0.000001 0.000001 0.000001 0.000003 0.000002 0.000008 0.000001 0.000001
S1 0.999979 S1 S1 7.080346 4.143308 4.081909 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0453.JPG 0.999979 0.000000 0.000000 0.000000 0.000006 0.000002 0.000000 0.000000 0.000000 0.000000 0.000005 0.000000 0.000001 0.000000 0.000000 0.000000 0.000001 0.000000 0.000002 0.000000 0.000001
S1 0.999952 S1 S1 7.038168 4.143308 4.075971 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0454.JPG 0.999952 0.000000 0.000000 0.000000 0.000026 0.000003 0.000001 0.000001 0.000000 0.000000 0.000004 0.000000 0.000001 0.000000 0.000001 0.000001 0.000002 0.000000 0.000006 0.000000 0.000000
S1 0.999963 S1 S1 7.259482 4.143308 4.083148 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0455.JPG 0.999963 0.000000 0.000000 0.000000 0.000004 0.000002 0.000001 0.000001 0.000001 0.000000 0.000004 0.000001 0.000001 0.000000 0.000001 0.000000 0.000002 0.000001 0.000017 0.000000 0.000001
S1 0.999982 S1 S1 7.149523 4.143308 4.076117 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0456.JPG 0.999982 0.000000 0.000000 0.000000 0.000003 0.000002 0.000000 0.000000 0.000000 0.000000 0.000003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000006 0.000000 0.000000
S1 0.999855 S1 S1 7.217493 4.143308 4.067729 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0457.JPG 0.999855 0.000000 0.000002 0.000001 0.000074 0.000011 0.000002 0.000002 0.000001 0.000001 0.000019 0.000001 0.000003 0.000001 0.000003 0.000003 0.000005 0.000002 0.000012 0.000001 0.000001
S1 0.999894 S1 S1 7.145222 4.143308 4.074258 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0458.JPG 0.999894 0.000001 0.000002 0.000002 0.000021 0.000007 0.000002 0.000002 0.000003 0.000001 0.000023 0.000002 0.000004 0.000001 0.000002 0.000002 0.000005 0.000003 0.000017 0.000001 0.000003
S1 0.999871 S1 S1 7.058812 4.143308 4.063220 1 1 1 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0459.JPG 0.999871 0.000000 0.000002 0.000001 0.000024 0.000013 0.000002 0.000003 0.000002 0.000001 0.000050 0.000001 0.000004 0.000001 0.000004 0.000003 0.000004 0.000002 0.000007 0.000001 0.000003
