CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName AN CE DS HP NE SA SC SR
AN 0.779304 AN AN 6.770697 3.497842 3.497842 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S7/S7HD1/S7HD1AN/DSC_0184.JPG 0.575985 0.000029 0.016415 0.406664 0.000070 0.000035 0.000400 0.000401
DS 0.993618 DS DS 6.046947 3.497842 3.497842 1 1 1 7.000000 /home/sielicki/data/BC2E_1072x712/S14/S14HD1/S14HD1DS/DSC_0699_01.JPG 0.005896 0.000001 0.993618 0.000001 0.000000 0.000003 0.000480 0.000002
HP 0.862409 DS HP 2.338930 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK1/S1MK1HP/DSC_0623_01.JPG 0.052432 0.020776 0.780348 0.134890 0.000684 0.005607 0.002705 0.002558
SR 0.710710 AN SR 0.554762 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S4/S4MK1/S4MK1SR/DSC_0554.JPG 0.337248 0.000415 0.226916 0.023697 0.061744 0.006735 0.172432 0.170814
CE 0.935899 CE CE 2.765008 3.497842 3.497842 0 0 0 4.000000 /home/sielicki/data/BC2E_1072x712/S7/S7HD2/S7HD2CE/DSC_0262.JPG 0.000363 0.538268 0.084800 0.131792 0.000765 0.243192 0.000232 0.000587
DS 0.898518 DS DS 6.297399 3.497842 3.497842 1 1 1 7.000000 /home/sielicki/data/BC2E_1072x712/S19/S19GL1/S19GL1DS/DSC_0856.JPG 0.060620 0.014356 0.898518 0.012342 0.000115 0.003187 0.009609 0.001253
HP 0.805083 HP DS 1.616544 3.497842 3.497842 0 0 0 4.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK1/S10MK1HP/DSC_0257.JPG 0.126126 0.002075 0.224356 0.461473 0.004208 0.002501 0.002450 0.176811
HP 0.894511 AN NE 1.878019 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S7/S7FM3/S7FM3HP/DSC_0050_01.JPG 0.772763 0.003217 0.013320 0.029695 0.086053 0.029153 0.003448 0.062352
SA 0.797959 SR SR 2.505085 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2SA/DSC_0936_01.JPG 0.302977 0.003034 0.017826 0.204705 0.017881 0.046053 0.022531 0.384993
AN 0.893026 DS DS 7.001277 3.497842 3.497842 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S19/S19GL1/S19GL1AN/DSC_0843.JPG 0.097140 0.000678 0.803528 0.049579 0.002333 0.044138 0.001806 0.000799
SA 0.765402 DS DS 3.185760 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK1/S10MK1SA/DSC_0236.JPG 0.013750 0.089530 0.359853 0.206077 0.045606 0.176819 0.012627 0.095739
SC 0.772286 HP SR 2.124967 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S19/S19MK1/S19MK1SC/DSC_0158_01.JPG 0.023945 0.001122 0.113482 0.389191 0.008483 0.001673 0.203837 0.258266
SA 0.938385 NE SR -0.043370 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S12/S12NM2/S12NM2SA/DSC_0770.JPG 0.030815 0.006574 0.000252 0.000739 0.825424 0.050494 0.023904 0.061799
HP 0.735174 DS DS 2.515635 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S2/S2GL1/S2GL1HP/DSC_0002.JPG 0.162296 0.012917 0.557370 0.225467 0.002250 0.017543 0.008868 0.013289
SA 0.521321 NE SR 1.075487 3.497842 3.497842 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK5/S1MK5SA/DSC_0601_01.JPG 0.038205 0.001171 0.002571 0.032676 0.203977 0.334516 0.209086 0.177798
AN 0.681983 AN AN 3.332962 3.497842 3.497842 0 0 0 3.000000 /home/sielicki/data/BC2E_1072x712/S6/S6MK2/S6MK2AN/DSC_0543.JPG 0.325831 0.000168 0.363673 0.161331 0.013747 0.089778 0.010056 0.035415
NE 0.910542 DS HP 0.245049 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S5/S5MK3/S5MK3NE/DSC_0019_01.JPG 0.035239 0.008600 0.534228 0.401037 0.000477 0.006968 0.006446 0.007004
NE 0.597317 HP NE 0.967341 3.497842 3.497842 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S16/S16MK1/S16MK1NE/DSC_0340.JPG 0.004998 0.005395 0.127862 0.430616 0.294847 0.065073 0.069092 0.002117
AN 0.983470 DS DS 6.187273 3.497842 3.497842 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S14/S14HD1/S14HD1AN/DSC_0691_01.JPG 0.002450 0.000014 0.983470 0.000128 0.000115 0.000034 0.013784 0.000007
DS 0.653721 AN SA 1.306299 3.497842 3.497842 0 0 0 3.000000 /home/sielicki/data/BC2E_1072x712/S14/S14GL1/S14GL1DS/DSC_0527_01.JPG 0.280866 0.007803 0.490071 0.000598 0.000091 0.149700 0.070316 0.000555
SA 0.968236 SA SA 5.141633 3.497842 3.497842 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S12/S12NM2/S12NM2SA/DSC_0763.JPG 0.013146 0.000476 0.000498 0.000045 0.200235 0.781949 0.003376 0.000275
SR 0.993012 SR SR 6.054261 3.497842 3.497842 1 1 1 7.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK1/S3MK1SR/DSC_0111_01.JPG 0.000024 0.000001 0.000003 0.000025 0.000005 0.000000 0.006931 0.993012
SR 0.837931 SR SR 4.473539 3.497842 3.497842 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK2/S1MK2SR/DSC_0943.JPG 0.075233 0.006467 0.072500 0.021041 0.008202 0.125712 0.073266 0.617578
NE 0.904577 NE SA 2.389658 3.497842 3.497842 0 0 0 4.000000 /home/sielicki/data/BC2E_1072x712/S7/S7HD2/S7HD2NE/DSC_0240.JPG 0.034357 0.004561 0.000905 0.007829 0.646644 0.157668 0.066323 0.081714
NE 0.961936 CE AN 0.189462 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S7/S7FM3/S7FM3NE/DSC_0017_01.JPG 0.174749 0.357655 0.121733 0.069109 0.003443 0.109867 0.131811 0.031633
AN 0.889889 SA SA 3.957134 3.497842 3.497842 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK2/S1MK2AN/DSC_0998.JPG 0.074510 0.038235 0.055855 0.000087 0.001957 0.773408 0.055262 0.000687
CE 0.866855 CE CE 4.112602 3.497842 3.497842 1 1 1 4.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK3/S3MK3CE/DSC_0224_01.JPG 0.036656 0.590580 0.008841 0.320576 0.034678 0.005177 0.001155 0.002338
NE 0.623705 SC DS 1.967856 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S18/S18MK1/S18MK1NE/DSC_0381.JPG 0.038116 0.005883 0.257245 0.007210 0.013960 0.356006 0.296959 0.024621
DS 0.846755 DS DS 3.015117 3.497842 3.497842 0 0 0 3.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2DS/DSC_0043_01.JPG 0.070850 0.000952 0.393349 0.316790 0.009827 0.007267 0.032322 0.168644
SA 0.733010 NE AN -0.626197 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S3/S3HD1/S3HD1SA/DSC_0998.JPG 0.139614 0.002003 0.003807 0.015379 0.733010 0.052578 0.026635 0.026974
AN 0.822061 DS DS 4.643982 3.497842 3.497842 1 1 1 1.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK4/S3MK4AN/DSC_0311_01.JPG 0.163560 0.000309 0.726948 0.004227 0.001942 0.013254 0.082923 0.006837
SR 0.911361 DS AN 1.456350 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S7/S7MK1/S7MK1SR/DSC_0472_01.JPG 0.280296 0.000938 0.650381 0.004792 0.000274 0.000849 0.041265 0.021205
SR 0.827017 SR SR 6.586384 3.497842 3.497842 1 1 1 6.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK4/S1MK4SR/DSC_0955_01.JPG 0.004000 0.001263 0.005832 0.009922 0.054952 0.104624 0.098533 0.720873
SR 0.957964 AN AN 2.169943 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S14/S14HD1/S14HD1SR/DSC_0635_01.JPG 0.338515 0.001864 0.216689 0.000985 0.122502 0.147794 0.169097 0.002554
AN 0.780558 DS HP 1.111695 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S13/S13MK1/S13MK1AN/DSC_0662_01.JPG 0.043417 0.020436 0.718503 0.108265 0.000216 0.014561 0.028872 0.065731
SR 0.826247 SC SC 2.510539 3.497842 3.497842 0 0 0 3.000000 /home/sielicki/data/BC2E_1072x712/S7/S7HD2/S7HD2SR/DSC_0296.JPG 0.041445 0.003516 0.051713 0.008842 0.006605 0.177175 0.401645 0.309060
SC 0.724355 DS AN 0.716830 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S20/S20MK1/S20MK1SC/DSC_0331.JPG 0.204620 0.003002 0.649855 0.000625 0.000066 0.001873 0.097481 0.042478
SR 0.705974 DS SC 0.344800 3.497842 3.497842 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S17/S17MK1/S17MK1SR/DSC_0957.JPG 0.062326 0.000151 0.360408 0.003546 0.000102 0.001126 0.356610 0.215732
SA 0.842797 SA HP 0.580632 3.497842 3.497842 0 0 0 3.000000 /home/sielicki/data/BC2E_1072x712/S16/S16MK1/S16MK1SA/DSC_0389.JPG 0.095436 0.004694 0.290761 0.193331 0.006630 0.396762 0.005245 0.007140
SA 0.758401 SA DS -0.167630 3.497842 3.497842 0 0 0 5.000000 /home/sielicki/data/BC2E_1072x712/S5/S5MK2/S5MK2SA/DSC_0560.JPG 0.064113 0.012344 0.212947 0.069993 0.006363 0.589955 0.010126 0.034159
DS 0.924765 DS DS 5.271622 3.497842 3.497842 1 1 1 4.000000 /home/sielicki/data/BC2E_1072x712/S12/S12MK2/S12MK2DS/DSC_0194.JPG 0.112530 0.000661 0.598025 0.006515 0.000076 0.005402 0.029439 0.247352
NE 0.936241 SC SC 5.186293 3.497842 3.497842 1 1 1 1.000000 /home/sielicki/data/BC2E_1072x712/S14/S14HD1/S14HD1NE/DSC_0560_01.JPG 0.037522 0.000078 0.018126 0.001767 0.139689 0.002033 0.677612 0.123173
NE 0.745121 SR DS -0.679901 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S17/S17MK1/S17MK1NE/DSC_0875.JPG 0.026595 0.000296 0.113658 0.001446 0.015123 0.235504 0.229307 0.378072
SC 0.745208 SR AN -0.107715 3.497842 3.497842 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S19/S19MK1/S19MK1SC/DSC_0156_01.JPG 0.102835 0.004019 0.030922 0.124733 0.029443 0.016321 0.274988 0.416741
AN 0.877248 DS NE 0.199082 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S14/S14MK1/S14MK1AN/DSC_0853.JPG 0.006569 0.001972 0.439438 0.087666 0.090563 0.278244 0.007609 0.087939
SA 0.740994 AN DS -0.510492 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S7/S7FM1/S7FM1SA/DSC_0747.JPG 0.426508 0.005593 0.235775 0.196848 0.002014 0.014182 0.029248 0.089833
SA 0.812712 CE SA 1.181289 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK4/S1MK4SA/DSC_0941_01.JPG 0.004542 0.465574 0.024047 0.015376 0.001018 0.115245 0.029790 0.344409
SR 0.800920 SA DS 1.737030 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1SR/DSC_0452.JPG 0.007535 0.011658 0.267504 0.046954 0.114193 0.501674 0.019293 0.031190
NE 0.899056 NE NE 3.580594 3.497842 3.497842 1 1 1 4.000000 /home/sielicki/data/BC2E_1072x712/S3/S3NM3/S3NM3NE/DSC_0874.JPG 0.001521 0.000733 0.000273 0.197341 0.560690 0.237033 0.000599 0.001812
NE 0.799886 HP HP 4.852484 3.497842 3.497842 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S11/S11MK1/S11MK1NE/DSC_0028_01.JPG 0.028910 0.002086 0.317511 0.578086 0.001065 0.005632 0.055059 0.011651
SA 0.901221 SA SA 5.082642 3.497842 3.497842 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1SA/DSC_0431.JPG 0.002086 0.039858 0.145421 0.016794 0.084021 0.709512 0.000989 0.001320
SR 0.804288 SC DS 1.768255 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S2/S2GL1/S2GL1SR/DSC_0951.JPG 0.026021 0.081365 0.205406 0.011639 0.001448 0.190485 0.468337 0.015298
SA 0.800154 DS AN -2.008974 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S7/S7MK1/S7MK1SA/DSC_0407_01.JPG 0.143788 0.000571 0.800154 0.009334 0.000328 0.007116 0.004862 0.033846
HP 0.851230 HP HP 4.684850 3.497842 3.497842 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S6/S6MK1/S6MK1HP/DSC_0451_01.JPG 0.233850 0.001330 0.043175 0.632070 0.004976 0.008714 0.015271 0.060614
DS 0.899170 HP DS 1.252216 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK3/S3MK3DS/DSC_0352_01.JPG 0.112873 0.001004 0.222377 0.647192 0.010787 0.004406 0.000331 0.001030
DS 0.870146 AN AN 4.800586 3.497842 3.497842 1 1 1 2.000000 /home/sielicki/data/BC2E_1072x712/S7/S7FM1/S7FM1DS/DSC_0820.JPG 0.425652 0.006203 0.308685 0.028380 0.003408 0.114319 0.102737 0.010616
AN 0.753249 DS SA -0.631132 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK4/S1MK4AN/DSC_0007_01.JPG 0.008423 0.002323 0.256012 0.019441 0.007631 0.203947 0.245349 0.256875
SR 0.917767 AN AN 3.835330 3.497842 3.497842 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S7/S7FM2/S7FM2SR/DSC_0958.JPG 0.679121 0.001492 0.148740 0.003426 0.000254 0.007261 0.144694 0.015012
HP 0.905420 SR HP 1.934387 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK4/S1MK4HP/DSC_0993_01.JPG 0.004661 0.002164 0.108373 0.187193 0.003854 0.008394 0.015265 0.670095
AN 0.851520 AN AN 4.255004 3.497842 3.497842 1 1 1 6.000000 /home/sielicki/data/BC2E_1072x712/S7/S7FM3/S7FM3AN/DSC_0133_01.JPG 0.747064 0.003171 0.078518 0.034647 0.000162 0.006203 0.025091 0.105144
DS 0.984515 HP HP 3.322987 3.497842 3.497842 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S16/S16MK1/S16MK1DS/DSC_0504.JPG 0.275670 0.002776 0.207262 0.500078 0.000840 0.000982 0.010934 0.001459
SC 0.673459 DS AN 0.715564 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK3/S1MK3SC/DSC_0412.JPG 0.280563 0.018710 0.555837 0.031778 0.002563 0.035023 0.057338 0.018187
SC 0.771762 SR SR 3.572857 3.497842 3.497842 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S19/S19MK1/S19MK1SC/DSC_0153_01.JPG 0.003241 0.001340 0.091202 0.360713 0.006546 0.003398 0.053304 0.480256
SA 0.929889 NE SC 2.111421 3.497842 3.497842 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S2/S2NM2/S2NM2SA/DSC_0400.JPG 0.002354 0.001104 0.002049 0.000393 0.437751 0.204226 0.318798 0.033324
AN 0.920015 AN AN 3.300387 3.497842 3.497842 0 0 0 3.000000 /home/sielicki/data/BC2E_1072x712/S14/S14GL1/S14GL1AN/DSC_0502_01.JPG 0.458596 0.005122 0.378615 0.021046 0.000056 0.128566 0.004654 0.003343
CE 0.999220 CE CE 6.130266 3.497842 3.497842 1 1 1 7.000000 /home/sielicki/data/BC2E_1072x712/S12/S12NM2/S12NM2CE/DSC_0753.JPG 0.000025 0.999220 0.000041 0.000043 0.000206 0.000173 0.000058 0.000235
SR 0.948122 DS DS 5.640911 3.497842 3.497842 1 1 1 1.000000 /home/sielicki/data/BC2E_1072x712/S20/S20MK1/S20MK1SR/DSC_0292.JPG 0.102656 0.003514 0.553858 0.111283 0.000411 0.007363 0.136914 0.084001
CE 0.795762 CE CE 4.366929 3.497842 3.497842 1 1 1 4.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2CE/DSC_0919_01.JPG 0.089286 0.517948 0.038851 0.332151 0.004453 0.007431 0.002584 0.007297
NE 0.767751 SA CE -1.191043 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S6/S6MK1/S6MK1NE/DSC_0377_01.JPG 0.143835 0.111364 0.001973 0.003729 0.120157 0.533685 0.064994 0.020263
DS 0.636761 SA SA 3.154497 3.497842 3.497842 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1DS/DSC_0544_01.JPG 0.001722 0.048063 0.340546 0.300607 0.005948 0.300960 0.000421 0.001732
SR 0.945260 SR SR 4.108637 3.497842 3.497842 1 1 1 6.000000 /home/sielicki/data/BC2E_1072x712/S6/S6MK1/S6MK1SR/DSC_0438_01.JPG 0.015315 0.000718 0.000933 0.004298 0.000455 0.007849 0.147011 0.823421
HP 0.624640 SC SC 3.891248 3.497842 3.497842 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S4/S4HD1/S4HD1HP/DSC_0247.JPG 0.175496 0.036695 0.057631 0.055232 0.155723 0.014404 0.430542 0.074278
SC 0.686780 SA DS -0.246213 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S4/S4GL1/S4GL1SC/DSC_0428.JPG 0.260958 0.004939 0.179533 0.024013 0.000886 0.312345 0.190418 0.026909
SC 0.884745 AN AN 4.465458 3.497842 3.497842 1 1 1 1.000000 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1SC/DSC_0984.JPG 0.586530 0.000509 0.196187 0.002810 0.001557 0.072880 0.139214 0.000312
DS 0.946159 CE DS 1.978033 3.497842 3.497842 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S14/S14NM2/S14NM2DS/DSC_0366_01.JPG 0.077038 0.548878 0.211575 0.000610 0.000499 0.104449 0.054678 0.002273
CE 0.906150 CE CE 3.648294 3.497842 3.497842 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S14/S14HD1/S14HD1CE/DSC_0585_01.JPG 0.034179 0.700645 0.063197 0.000450 0.000107 0.014364 0.184702 0.002356
DS 0.756581 DS AN 1.596150 3.497842 3.497842 0 0 0 4.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2DS/DSC_0037_01.JPG 0.284067 0.001856 0.505453 0.057257 0.052372 0.044247 0.039661 0.015089
SA 0.938334 SA SA 2.533341 3.497842 3.497842 0 0 0 5.000000 /home/sielicki/data/BC2E_1072x712/S7/S7HD2/S7HD2SA/DSC_0274.JPG 0.018971 0.001272 0.000549 0.000313 0.024696 0.725348 0.085654 0.143197
CE 0.890858 CE SA 3.169026 3.497842 3.497842 0 0 0 5.000000 /home/sielicki/data/BC2E_1072x712/S16/S16MK1/S16MK1CE/DSC_0359.JPG 0.000450 0.683953 0.003333 0.039332 0.003925 0.253551 0.012852 0.002603
SR 0.688687 SR SR 2.747880 3.497842 3.497842 0 0 0 4.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK3/S3MK3SR/DSC_0319_01.JPG 0.201972 0.006601 0.094308 0.076784 0.091444 0.039992 0.042919 0.445980
SA 0.802795 SA AN -1.260597 3.497842 3.497842 0 0 0 4.000000 /home/sielicki/data/BC2E_1072x712/S7/S7MK3/S7MK3SA/DSC_0430.JPG 0.134133 0.002002 0.035073 0.013299 0.278069 0.491503 0.035296 0.010624
AN 0.809776 DS AN -0.330184 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S1/S1HD2/S1HD2AN/DSC_0158.JPG 0.178717 0.001453 0.267131 0.065592 0.046600 0.196536 0.059298 0.184673
NE 0.948077 NE SA 1.372570 3.497842 3.497842 0 0 0 5.000000 /home/sielicki/data/BC2E_1072x712/S5/S5MK1/S5MK1NE/DSC_0213_01.JPG 0.005442 0.001455 0.030021 0.010582 0.682141 0.264369 0.001242 0.004747
HP 0.859068 HP HP 1.885125 3.497842 3.497842 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK5/S3MK5HP/DSC_0483_01.JPG 0.159699 0.003093 0.010322 0.350533 0.004123 0.011423 0.215563 0.245244
HP 0.996121 HP HP 5.608511 3.497842 3.497842 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S14/S14NM2/S14NM2HP/DSC_0269_01.JPG 0.004956 0.000129 0.002662 0.749544 0.000068 0.000472 0.001368 0.240800
NE 0.927679 HP DS 1.620528 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S11/S11MK1/S11MK1NE/DSC_0038_01.JPG 0.003951 0.000978 0.067191 0.860031 0.000889 0.004639 0.004191 0.058130
SC 0.850591 AN SC 1.277180 3.497842 3.497842 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S6/S6MK2/S6MK2SC/DSC_0510.JPG 0.456252 0.000019 0.265413 0.002071 0.000709 0.000587 0.267069 0.007880
NE 0.722482 SC SC 4.112696 3.497842 3.497842 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK5/S3MK5NE/DSC_0405_01.JPG 0.110747 0.000903 0.060132 0.037030 0.001345 0.003126 0.519445 0.267272
